timestamp,open,high,low,close,volume
2023-12-09 04:05:00,2359.0,2363.9,2363.9,2363.9,1000.0
2023-12-09 04:06:00,2363.9,2363.9,2363.9,2363.9,0.0
2023-12-09 04:07:00,2363.9,2363.9,2363.9,2363.9,0.0
2023-12-09 04:08:00,2363.9,2363.9,2363.9,2363.9,0.0
2023-12-09 04:09:00,2363.9,2363.9,2363.9,2363.9,0.0
2023-12-09 04:10:00,2363.9,2363.9,2363.9,2363.9,0.0
2023-12-09 04:11:00,2363.9,2363.9,2363.9,2363.9,0.0
2023-12-09 04:12:00,2363.9,2362.1,2362.1,2362.1,1000.0
2023-12-09 04:13:00,2362.1,2362.1,2362.1,2362.1,0.0
2023-12-09 04:14:00,2362.1,2362.1,2362.1,2362.1,0.0
2023-12-09 04:15:00,2362.1,2362.1,2362.1,2362.1,0.0
2023-12-09 04:16:00,2362.1,2362.1,2362.1,2362.1,0.0
2023-12-09 04:17:00,2362.1,2362.1,2362.1,2362.1,0.0
2023-12-09 04:18:00,2362.1,2362.1,2362.1,2362.1,0.0
2023-12-09 04:19:00,2362.1,2362.1,2362.1,2362.1,0.0
2023-12-09 04:20:00,2362.1,2362.1,2362.1,2362.1,0.0
2023-12-09 04:21:00,2362.1,2362.1,2362.1,2362.1,0.0
2023-12-09 04:22:00,2362.1,2362.1,2362.1,2362.1,0.0
2023-12-09 04:23:00,2362.1,2362.1,2362.1,2362.1,0.0
2023-12-09 04:24:00,2362.1,2362.1,2362.1,2362.1,0.0
2023-12-09 04:25:00,2362.1,2362.1,2362.1,2362.1,0.0
2023-12-09 04:26:00,2362.1,2362.1,2362.1,2362.1,0.0
2023-12-09 04:27:00,2362.1,2362.1,2362.1,2362.1,0.0
2023-12-09 04:28:00,2362.1,2362.1,2362.1,2362.1,0.0
2023-12-09 04:29:00,2362.1,2362.1,2362.1,2362.1,0.0
2023-12-09 04:30:00,2362.1,2362.1,2362.1,2362.1,0.0
2023-12-09 04:31:00,2362.1,2362.1,2362.1,2362.1,0.0
2023-12-09 04:32:00,2362.1,2362.1,2362.1,2362.1,0.0
2023-12-09 04:33:00,2362.1,2362.1,2362.1,2362.1,0.0
2023-12-09 04:34:00,2362.1,2362.1,2362.1,2362.1,0.0
2023-12-09 04:35:00,2362.1,2362.1,2362.1,2362.1,0.0
2023-12-09 04:36:00,2362.1,2362.1,2362.1,2362.1,0.0
2023-12-09 04:37:00,2362.1,2362.1,2362.1,2362.1,0.0
2023-12-09 04:38:00,2362.1,2362.1,2362.1,2362.1,0.0
2023-12-09 04:39:00,2362.1,2362.1,2362.1,2362.1,0.0
2023-12-09 04:40:00,2362.1,2362.55,2362.55,2362.55,1000.0
2023-12-09 04:41:00,2362.55,2362.55,2362.55,2362.55,0.0
2023-12-09 04:42:00,2362.55,2362.55,2362.55,2362.55,0.0
2023-12-09 04:43:00,2362.55,2362.55,2362.55,2362.55,0.0
2023-12-09 04:44:00,2362.55,2362.55,2362.55,2362.55,0.0
