timestamp,0
2023-08-12,0.0
2023-08-14,-2394.4531119233143
2023-08-16,-10338.067647637057
2023-08-18,-3185.58734283784
2023-08-20,-6266.319442914595
2023-08-22,-4323.40024400728
2023-08-24,-2690.17506466496
2023-08-26,-660.3225992512307
2023-08-28,1194.8709109592455
2023-08-30,-9597.541471309567
2023-09-01,-4236.505345766098
2023-09-03,-2317.1039487642265
2023-09-05,-3421.7706388172373
2023-09-07,-3919.8857671049336
2023-09-09,-1659.6717752528348
2023-09-11,-8024.020982393908
2023-09-13,-3483.52521901454
2023-09-15,-1702.6005221133528
2023-09-17,-1986.4688693886274
2023-09-19,-5775.931252268361
2023-09-21,-1794.9085182343697
2023-09-23,-1729.047638831311
2023-09-25,-2099.3049701333657
2023-09-27,-3638.2037896629918
2023-09-29,-53.24675945310446
2023-10-01,-89.69266866802354
2023-10-03,-7545.106897498554
2023-10-05,-4686.213291681546
2023-10-07,-5411.259674927176
2023-10-09,-7404.049329497662
2023-10-11,-5510.977330673122
2023-10-13,-3764.8292578381515
2023-10-15,443.1287775225501
2023-10-17,-1705.014569615625
2023-10-19,-944.8778781454894
2023-10-21,-1857.1446950637473
2023-10-23,-1194.5506160337682
2023-10-25,-4828.871754272637
2023-10-27,-8421.641074700587
2023-10-29,-473.78669534416986
2023-10-31,-3370.203211545566
2023-11-02,-7413.983862578942
2023-11-04,-3163.4245690969547
2023-11-06,-6674.37408843782
2023-11-08,-6591.666359721014
2023-11-10,-13136.120607596138
2023-11-12,-6401.605563506208
2023-11-14,-3470.682232309933
2023-11-16,-14881.34206087343
2023-11-18,-4621.525308446478
2023-11-20,-12368.019179681345
2023-11-22,-1646.7867034180672
2023-11-24,-11351.50420286876
2023-11-26,-11218.056216197248
2023-11-28,-10151.24357170239
2023-11-30,-3589.1562746476993
2023-12-02,-5030.778838161714
2023-12-04,-5023.228989353185
2023-12-06,-7799.757232278411
2023-12-08,3823.227151831481
2023-12-10,-4264.906750494614
