timestamp,0
2023-08-12,-13959.380505131558
2023-08-14,-23458.794419492755
2023-08-16,-34971.10052449709
2023-08-18,-19590.990407548496
2023-08-20,-19431.604215623476
2023-08-22,-21882.171588030455
2023-08-24,-19959.461675143044
2023-08-26,-20346.697896487705
2023-08-28,-21638.344385901422
2023-08-30,-24689.73026395774
2023-09-01,-21161.065932118334
2023-09-03,-20695.67874098409
2023-09-05,-19733.488784443674
2023-09-07,-15839.532214029037
2023-09-09,-17425.767172304186
2023-09-11,-20267.685768260577
2023-09-13,-16659.119558512713
2023-09-15,-21529.61415534698
2023-09-17,-20265.603651240788
2023-09-19,-21387.55320223591
2023-09-21,-19109.913048412913
2023-09-23,-19408.74934808629
2023-09-25,-20176.384658115232
2023-09-27,-19985.687185057395
2023-09-29,-22762.76750237563
2023-10-01,-22164.084543824327
2023-10-03,-23238.00271680647
2023-10-05,-21919.840935996835
2023-10-07,-22563.0831572944
2023-10-09,-21885.94943519027
2023-10-11,-22609.039531598
2023-10-13,-19252.826715948933
2023-10-15,-19561.614882947542
2023-10-17,-22361.367538949213
2023-10-19,-17182.295290087204
2023-10-21,-21754.686996159377
2023-10-23,-17102.966374957992
2023-10-25,-18534.016238967175
2023-10-27,-20977.085268722003
2023-10-29,-20582.36201409594
2023-10-31,-15698.388844450805
2023-11-02,-18979.104964746977
2023-11-04,-18700.762112715005
2023-11-06,-19987.537266861153
2023-11-08,-19428.146888904084
2023-11-10,-18209.49077922608
2023-11-12,-20315.57205241469
2023-11-14,-20365.196674375868
2023-11-16,-24489.19124941186
2023-11-18,-20715.824855853047
2023-11-20,-25954.445854635764
2023-11-22,-18070.65685464682
2023-11-24,-15618.39732842434
2023-11-26,-21466.612540217335
2023-11-28,-19433.153624171813
2023-11-30,-18769.313004590484
2023-12-02,-14246.928305769557
2023-12-04,-20666.328814950946
2023-12-06,-21422.848172957674
2023-12-08,-19018.968910905314
2023-12-10,-5142.265916133911
