timestamp,0
2023-08-12,-21147.444427223876
2023-08-14,-31313.687208287447
2023-08-16,-33450.45993512373
2023-08-18,-29124.242828880742
2023-08-20,-33880.33856986737
2023-08-22,-35383.690183023755
2023-08-24,-42600.927331869854
2023-08-26,-34569.02373328882
2023-08-28,-29126.19868273371
2023-08-30,-32335.505935505935
2023-09-01,-36472.75936701098
2023-09-03,-34690.34958492178
2023-09-05,-32878.26850647053
2023-09-07,-39054.28124178361
2023-09-09,-38272.69620958248
2023-09-11,-40629.64258005035
2023-09-13,-42408.50471197031
2023-09-15,-38335.43184219869
2023-09-17,-35646.450473410885
2023-09-19,-43472.65508456318
2023-09-21,-43387.565553761175
2023-09-23,-40224.036113707785
2023-09-25,-42044.17169207068
2023-09-27,-34195.51808970934
2023-09-29,-40475.00048561917
2023-10-01,-30632.440960370397
2023-10-03,-39467.66424911186
2023-10-05,-39580.925784733074
2023-10-07,-42457.85436674074
2023-10-09,-48625.6528972569
2023-10-11,-44547.98682678222
2023-10-13,-34657.832489035456
2023-10-15,-28066.379392819785
2023-10-17,-41140.925374807426
2023-10-19,-28281.60123741087
2023-10-21,-33034.524715965905
2023-10-23,-38077.022085089324
2023-10-25,-36269.451025648676
2023-10-27,-34811.51149827247
2023-10-29,-33671.22178964307
2023-10-31,-14076.377201309908
2023-11-02,-44685.04857457647
2023-11-04,-45990.66505501784
2023-11-06,-35775.03074852101
2023-11-08,-27085.555382113234
2023-11-10,-21866.06342458904
2023-11-12,-29635.31580663791
2023-11-14,-23635.79135353271
2023-11-16,-37206.83450536528
2023-11-18,-41956.04143148536
2023-11-20,-41861.805473219094
2023-11-22,-37863.08629953094
2023-11-24,-42242.182247402
2023-11-26,-38954.09611167805
2023-11-28,-40170.90892918811
2023-11-30,-44650.538067433765
2023-12-02,-40248.471486985545
2023-12-04,-43092.2715003966
2023-12-06,-37324.59196531861
2023-12-08,-35940.82685909644
2023-12-10,-11518.985846436452
