timestamp,0
2023-08-12,-18891.72074858655
2023-08-14,-38615.31725987544
2023-08-16,-35294.529695968835
2023-08-18,-39858.3113790806
2023-08-20,-45709.35444052513
2023-08-22,-40054.68449264628
2023-08-24,-42463.68890086855
2023-08-26,-37692.294125456785
2023-08-28,-39520.06207382844
2023-08-30,-42037.36696520502
2023-09-01,-45257.405758003006
2023-09-03,-41856.12533751598
2023-09-05,-40205.4782746945
2023-09-07,-42313.03968120489
2023-09-09,-39349.181186908325
2023-09-11,-35669.34396972083
2023-09-13,-39435.73218395661
2023-09-15,-41364.57974580047
2023-09-17,-38517.32198984697
2023-09-19,-39836.79107047557
2023-09-21,-44628.78764525938
2023-09-23,-31050.600728431935
2023-09-25,-42420.71251930352
2023-09-27,-34300.19881595961
2023-09-29,-39212.792500924545
2023-10-01,-41713.60339531486
2023-10-03,-38389.597360241234
2023-10-05,-36294.64913811508
2023-10-07,-40919.45921676361
2023-10-09,-45689.28564623738
2023-10-11,-41757.011702617514
2023-10-13,-42201.92162377073
2023-10-15,-37455.9157090771
2023-10-17,-44578.39428923237
2023-10-19,-41360.816271282805
2023-10-21,-38533.244005754554
2023-10-23,-35498.33702560602
2023-10-25,-38930.40939497698
2023-10-27,-40101.9554189242
2023-10-29,-38098.97556119576
2023-10-31,-38093.57492482579
2023-11-02,-43583.63580264699
2023-11-04,-36025.17382302444
2023-11-06,-40732.92095763606
2023-11-08,-31510.986196544138
2023-11-10,-34277.53823912103
2023-11-12,-38219.388314048236
2023-11-14,-36391.68118540305
2023-11-16,-40170.63022099706
2023-11-18,-41480.33161311521
2023-11-20,-35277.26936545703
2023-11-22,-34954.009204399474
2023-11-24,-38524.06838139789
2023-11-26,-36347.57415707201
2023-11-28,-39684.71711822769
2023-11-30,-40475.35482133723
2023-12-02,-37743.322201947456
2023-12-04,-40819.872087834345
2023-12-06,-39746.062167334385
2023-12-08,-40826.51261055521
2023-12-10,-14229.002979148223
